no_pili,latitude,longitude
PJY-A-001,2.93678,101.69591
PJY-A-002,2.9362,101.69598
PJY-A-003,2.93474,101.69492
PJY-A-004,2.93444,101.69419
PJY-A-005,2.93441,101.69517
PJY-A-006,2.93454,101.69585
PJY-A-007,2.93478,101.69647
PJY-A-008,2.93537,101.69703
PJY-A-009,2.93609,101.6969
PJY-A-010,2.9369,101.69672
PJY-A-011,2.9374,101.69601
PJY-A-012,2.93746,101.6959
PJY-A-013,2.93712,101.69514
PJY-A-014,2.93697,101.69441
PJY-A-015,2.937041,101.693786
PJY-A-016,2.93568,101.69465
PJY-A-017,2.93519,101.69482
PJY-A-018,2.93527,101.69553
PJY-A-019,2.93546,101.69641
PJY-A-020,2.93641,101.69461
PJY-A-021,2.93861,101.69335
PJY-A-022,2.93838,101.69356
PJY-A-023,2.93769,101.69308
PJY-A-024,2.93787,101.69241
PJY-A-025,2.9378,101.69142
PJY-A-026,2.93859,101.69131
PJY-A-027,2.93944,101.69158
PJY-A-028,2.94023,101.69163
PJY-A-029,2.93961,101.69226
PJY-A-030,2.93902,101.69256
PJY-A-031,2.93937,101.69292
PJY-A-032,2.9394,101.69383
PJY-A-033,2.93909,101.69431
PJY-A-034,2.93767,101.7008
PJY-A-035,2.93748,101.69943
PJY-A-036,2.93631,101.69971
PJY-A-037,2.93681,101.69897
PJY-A-038,2.93616,101.69869
PJY-A-039,2.93571,101.6992
PJY-A-040,2.93536,101.69972
PJY-A-041,2.93462,101.70007
PJY-A-042,2.93539,101.70081
PJY-A-043,2.93708,101.70092
PJY-A-044,2.937115,101.700918
PJY-A-045,2.93775,101.70014
PJY-A-046,2.93612,101.70116
PJY-A-047,2.93667,101.70071
PJY-A-048,2.93711,101.7001
PJY-A-049,2.935045,101.698413
PJY-A-050,2.93564,101.6919
PJY-A-051,2.93491,101.69193
PJY-A-052,2.93442,101.69147
PJY-A-053,2.93448,101.69067
PJY-A-054,2.93507,101.69024
PJY-A-055,2.9354,101.69002
PJY-A-056,2.93586,101.69023
PJY-A-057,2.93606,101.69063
PJY-A-058,2.93614,101.69116
PJY-A-059,2.939,101.70358
PJY-A-060,2.93995,101.70462
PJY-A-061,2.93839,101.70598
PJY-A-062,2.93783,101.70554
PJY-A-063,2.93722,101.70515
PJY-A-064,2.93947,101.70544
PJY-A-065,2.93891,101.70562
PJY-A-066,2.9344,101.70557
PJY-A-067,2.93766,101.70504
PJY-A-068,2.93722,101.70477
PJY-A-069,2.93818,101.70522
PJY-A-070,2.93844,101.70377
PJY-A-071,2.93907,101.7043
PJY-A-072,2.93843,101.70341
PJY-A-073,2.93784,101.70313
PJY-A-074,2.93855,101.70363
PJY-A-075,2.938,101.7034
PJY-A-076,2.93657,101.70437
PJY-A-077,2.94319,101.69887
PJY-A-078,2.94082,101.69925
PJY-A-079,2.94032,101.6987
PJY-A-080,2.93984,101.69793
PJY-A-081,2.93983,101.69716
PJY-A-082,2.94043,101.69659
PJY-A-083,2.94125,101.69658
PJY-A-084,2.94204,101.69788
PJY-A-085,2.942,101.69784
PJY-A-086,2.94268,101.6983
PJY-A-087,2.9397,101.7008
PJY-A-088,2.94152,101.70592
PJY-A-089,2.94187,101.70546
PJY-A-090,2.93944,101.70495
PJY-A-091,2.94384,101.69527
PJY-A-092,2.94295,101.69375
PJY-A-093,2.94271,101.69264
PJY-A-094,2.94394,101.69432
PJY-A-095,2.94467,101.69502
PJY-A-096,2.94572,101.69552
PJY-A-097,2.94691,101.69553
PJY-A-098,2.95018,101.69958
PJY-A-099,2.95144,101.7041
PJY-A-100,2.94465,101.6934
PJY-A-101,2.94529,101.69431
PJY-A-102,2.942984,101.700241
PJY-A-103,2.94351,101.69971
PJY-A-104,2.94323,101.69936
PJY-A-105,2.94257,101.69997
PJY-A-106,2.945511,101.700225
PJY-A-107,2.946013,101.700107
PJY-A-108,2.94586,101.700942
PJY-A-109,2.945222,101.701248
PJY-A-110,2.945231,101.701755
PJY-A-111,2.944749,101.702011
PJY-A-112,2.9333,101.69032
PJY-A-113,2.932799,101.690046
PJY-A-114,2.93242,101.68999
PJY-A-115,2.9319,101.68987
PJY-A-116,2.93952,101.70535
PJY-A-117,2.944686,101.701332
PJY-A-118,2.94318,101.705786
PJY-A-119,2.94359,101.70699
PJY-A-120,2.94357,101.70634
PJY-A-121,2.94323,101.70589
PJY-A-122,2.94258,101.7059
PJY-A-123,2.94382,101.70721
PJY-A-124,2.94343,101.70745
PJY-A-125,2.94282,101.70747
PJY-A-126,2.94307,101.70796
PJY-A-127,2.94379,101.70797
PJY-A-128,2.94348,101.70843
PJY-A-129,2.94334,101.70888
PJY-A-130,2.94335,101.70959
PJY-A-131,2.94288,101.70963
PJY-A-132,2.9428,101.70872
PJY-A-133,2.94289,101.70967
PJY-A-134,2.94225,101.70937
PJY-A-135,2.94169,101.70913
PJY-A-136,2.94107,101.70858
PJY-A-137,2.94135,101.70834
PJY-A-138,2.94094,101.70795
PJY-A-139,2.9413,101.70754
PJY-A-140,2.941,101.70701
PJY-A-141,2.94174,101.70673
PJY-A-142,2.94232,101.70684
PJY-A-143,2.94093,101.70659
PJY-A-144,2.94203,101.70589
PJY-A-145,2.94244,101.70632
PJY-A-146,2.94276,101.7074
PJY-A-147,2.94224,101.70747
PJY-A-148,2.94251,101.7076
PJY-A-149,2.94168,101.7075
PJY-A-150,2.94188,101.70673
PJY-A-151,2.94173,101.70799
PJY-A-152,2.94265,101.70857
PJY-A-153,2.94026,101.70687
PJY-A-154,2.94049,101.70735
PJY-A-155,2.94049,101.70808
PJY-A-156,2.94043,101.70856
PJY-A-157,2.94609,101.71233
PJY-A-158,2.94775,101.71231
PJY-A-159,2.94738,101.71154
PJY-A-160,2.94742,101.71114
PJY-A-161,2.94794,101.71143000000001
PJY-A-162,2.94824,101.71095
PJY-A-163,2.94836,101.71012
PJY-A-164,2.94757,101.7102
PJY-A-165,2.94687,101.71078
PJY-A-166,2.94588,101.71109
PJY-A-167,2.94534,101.71161
PJY-A-168,2.94528,101.7123
PJY-A-169,2.94506,101.71286
PJY-A-170,2.94592,101.71284
PJY-A-171,2.94723,101.71288
PJY-A-172,2.943,101.69292
PJY-A-173,2.933146,101.6903
PJY-A-174,2.932662,101.690159
PJY-A-175,2.932235,101.69001
PJY-A-176,2.93836,101.70942
PJY-A-177,2.93848,101.70992
PJY-A-178,2.93883,101.71049
PJY-A-179,2.93964,101.71021
PJY-A-180,2.93985,101.70977
PJY-A-181,2.93959,101.70885
PJY-A-182,2.93821,101.71067
PJY-A-183,2.93777,101.71162
PJY-A-184,2.93778,101.71209
PJY-A-185,2.93854,101.71258
PJY-A-186,2.93993,101.71215
PJY-A-187,2.94015,101.71192
PJY-A-188,2.94114,101.71193
PJY-A-189,2.9416,101.71129
PJY-A-190,2.94118,101.71077
PJY-A-191,2.94037,101.71014
PJY-A-192,2.94571,101.71052
PJY-A-193,2.94545,101.71071
PJY-A-194,2.94446,101.709981
PJY-A-195,2.94448,101.71196
PJY-A-196,2.94454,101.71239
PJY-A-197,2.9442,101.71277
PJY-A-198,2.94392,101.71236
PJY-A-199,2.94382,101.71214
PJY-A-200,2.9439,101.71166
PJY-A-201,2.94406,101.71137
PJY-A-202,2.94427,101.7113
PJY-A-203,2.94453,101.7114
PJY-A-204,2.94533,101.70884
PJY-A-205,2.94523,101.70831
PJY-A-206,2.94551,101.70722
PJY-A-207,2.94594,101.70627
PJY-A-208,2.94632,101.70625
PJY-A-209,2.94593,101.70566
PJY-A-210,2.94628,101.70741
PJY-A-211,2.94603,101.70856
PJY-A-212,2.94597,101.70907
PJY-A-213,2.94618,101.70977
PJY-A-214,2.94627,101.70979
PJY-A-215,2.94639,101.70957
PJY-A-216,2.94635,101.70855
PJY-A-217,2.94697,101.708753
PJY-A-218,2.94545,101.70976
PJY-A-219,2.94528,101.70971
PJY-A-220,2.9454,101.7091
PJY-A-221,2.94524,101.7085
PJY-A-222,2.94504,101.70918
PJY-A-223,2.945047,101.71043
PJY-A-224,2.94678,101.70603
PJY-A-225,2.94509,101.70627
PJY-A-226,2.94503,101.70769
PJY-A-227,2.94495,101.70834
PJY-A-228,2.94481,101.70911
PJY-A-229,2.94481,101.70989
PJY-A-230,2.94457,101.71003
PJY-A-231,2.94525,101.71037
PJY-A-232,2.94668,101.71037
PJY-B-001,2.92579,101.69305
PJY-B-002,2.92553,101.69232
PJY-B-003,2.92604,101.69189
PJY-B-004,2.92671,101.69225
PJY-B-005,2.92686,101.69286
PJY-B-006,2.92642,101.69334
PJY-B-007,2.92463,101.69134
PJY-B-008,2.9252,101.69099
PJY-B-009,2.92576,101.69126
PJY-B-010,2.92578,101.69182
PJY-B-011,2.92518,101.69223
PJY-B-012,2.92437,101.69176
PJY-B-013,2.92766,101.68953
PJY-B-014,2.92838,101.68984
PJY-B-015,2.92911,101.69019
PJY-B-016,2.92988,101.69038
PJY-B-017,2.93,101.68992
PJY-B-018,2.92933,101.68948
PJY-B-019,2.928645,101.689157
PJY-B-020,2.92786,101.68932
PJY-B-021,2.92714,101.68941
PJY-B-022,2.92638,101.68911
PJY-B-023,2.92567,101.68894
PJY-B-024,2.925,101.68848
PJY-B-025,2.92457,101.68817
PJY-B-026,2.92546,101.68819
PJY-B-027,2.92566,101.68819
PJY-B-028,2.92699,101.68868
PJY-B-029,2.92798,101.68893
PJY-B-030,2.9293,101.68808
PJY-B-031,2.930162,101.68791
PJY-B-032,2.93066,101.68809
PJY-B-033,2.93073,101.68861
PJY-B-034,2.92922,101.68855
PJY-B-035,2.92988,101.68859
PJY-B-036,2.922806,101.688475
PJY-B-037,2.9224,101.68887
PJY-B-038,2.92153,101.68893
PJY-B-039,2.92153,101.68834
PJY-B-040,2.92233,101.68823
PJY-B-041,2.92028,101.6864
PJY-B-042,2.9202,101.68706
PJY-B-043,2.91987,101.68751
PJY-B-044,2.92001,101.68842
PJY-B-045,2.92063,101.68819
PJY-B-046,2.92088,101.68745
PJY-B-047,2.92082,101.68686
PJY-B-048,2.92025,101.68642
PJY-B-049,2.91987,101.68706
PJY-B-050,2.9199,101.68771
PJY-B-051,2.91963,101.68813
PJY-B-052,2.9189,101.68803
PJY-B-053,2.919277,101.687339
PJY-B-054,2.9192,101.68677
PJY-B-055,2.91962,101.68642
PJY-B-056,2.92155,101.68588
PJY-B-057,2.92181,101.6852
PJY-B-058,2.92151,101.68461
PJY-B-059,2.921066,101.685228
PJY-B-060,2.92072,101.68566
PJY-B-061,2.92069,101.68578
PJY-B-062,2.92106,101.68481
PJY-B-063,2.92124,101.68449
PJY-B-064,2.92056,101.6841
PJY-B-065,2.92015,101.68461
PJY-B-066,2.91995,101.68546
PJY-B-067,2.92017,101.6856
PJY-B-068,2.91827,101.68607
PJY-B-069,2.91793,101.68568
PJY-B-070,2.91703,101.68554
PJY-B-071,2.929467,101.686817
PJY-B-072,2.91641,101.68536
PJY-B-073,2.91616,101.68604
PJY-B-074,2.91642,101.68658
PJY-B-075,2.91701,101.68645
PJY-B-076,2.9172,101.68678
PJY-B-077,2.91691,101.68729
PJY-B-078,2.91649,101.68708
PJY-B-079,2.91795,101.68661
PJY-B-080,2.929197,101.687527
PJY-B-081,2.929578,101.687421
PJY-B-082,2.928773,101.687615
PJY-B-083,2.928396,101.687575
PJY-B-084,2.92854,101.686959
PJY-B-085,2.928987,101.686786
PJY-B-086,2.922592,101.687311
PJY-B-087,2.923202,101.687411
PJY-B-088,2.923656,101.68776
PJY-B-089,2.924467,101.687999
PJY-B-090,2.924148,101.688305
PJY-B-091,2.923552,101.688052
PJY-B-092,2.923008,101.687945
PJY-B-093,2.92226,101.687962
PJY-B-094,2.923566,101.688363
PJY-B-095,2.923033,101.688637
PJY-B-096,2.918912,101.688622
PJY-B-097,2.91927,101.689012
PJY-C-001,2.918427,101.681518
PJY-C-002,2.9189,101.68045
PJY-C-003,2.91963,101.68202
PJY-C-004,2.92004,101.68092
PJY-C-005,2.9174,101.68246
PJY-C-006,2.91755,101.6819
PJY-C-007,2.91882,101.68208
PJY-C-008,2.91827,101.68259
PJY-C-009,2.91791,101.68282
PJY-C-010,2.917217,101.684297
PJY-C-011,2.91683,101.68433
PJY-C-012,2.91642,101.68336
PJY-C-013,2.91688,101.68387
PJY-C-014,2.91765,101.68416
PJY-C-015,2.918064,101.683807
PJY-C-016,2.918644,101.684452
PJY-C-017,2.918825,101.684095
PJY-C-018,2.919087,101.684466
PJY-C-019,2.91883,101.685031
PJY-C-020,2.918459,101.684925
PJY-C-021,2.918077,101.684566
PJY-C-022,2.917644,101.684385
PJY-C-023,2.916161,101.684213
PJY-C-024,2.91655,101.684141
PJY-C-025,2.916574,101.683741
PJY-C-026,2.916693,101.683329
PJY-C-027,2.915985,101.683498
PJY-C-028,2.919138,101.686042
PJY-C-029,2.91893,101.687063
PJY-C-030,2.919962,101.685258
PJY-C-031,2.91967,101.68457
PJY-C-032,2.919128,101.685158
PJY-C-033,2.920363,101.68425
PJY-C-034,2.919858,101.6838
PJY-C-035,2.919438,101.684054
PJY-C-036,2.919588,101.684403
PJY-C-037,2.91738,101.68191
PJY-C-038,2.91716,101.68239
PJY-C-039,2.91718,101.68188
PJY-C-040,2.91679,101.68166
PJY-C-041,2.91661,101.68228
PJY-D-001,2.91361,101.6841
PJY-D-002,2.91329,101.6851
PJY-D-003,2.91374,101.68565
PJY-D-004,2.91387,101.68503
PJY-D-005,2.91439,101.68446
PJY-D-006,2.9144,101.68454
PJY-D-007,2.914199,101.685337
PJY-D-008,2.91401,101.685883
PJY-D-009,2.91444,101.6861
PJY-D-010,2.91493,101.68552
PJY-D-011,2.91517,101.68467
PJY-D-012,2.91473,101.68433
PJY-D-013,2.912816,101.68474
PJY-D-014,2.913223,101.684113
PJY-D-015,2.912455,101.683788
PJY-D-016,2.912244,101.684532
PJY-D-017,2.902899,101.681821
PJY-D-018,2.903288,101.681791
PJY-D-019,2.903457,101.681515
PJY-D-020,2.90267,101.681618
PJY-D-021,2.91544,101.683838
PJY-D-022,2.915755,101.683209
PJY-D-023,2.915341,101.682251
PJY-D-024,2.915727,101.68228
PJY-D-025,2.914861,101.682544
PJY-D-026,2.914363,101.6828
PJY-D-027,2.91416,101.683348
PJY-D-028,2.914363,101.683613
PJY-D-029,2.914668,101.683474
PJY-D-030,2.914888,101.683508
PJY-D-031,2.914766,101.683248
PJY-D-032,2.914957,101.682854
PJY-D-033,2.915233,101.682789
PJY-D-034,2.912606,101.684942
PJY-D-035,2.9118,101.68497
PJY-D-036,2.912365,101.685496
PJY-D-037,2.91381,101.686553
PJY-D-038,2.913095,101.686183
PJY-D-039,2.904853,101.680405
PJY-D-040,2.902601,101.680399
PJY-D-041,2.902271,101.680537
PJY-D-042,2.902525,101.680177
PJY-D-043,2.546051,101.409707
PJY-E-000,2.5319,101.4033
PJY-E-001,2.89326,101.67583
PJY-E-002,2.89379,101.67546
PJY-E-003,2.89479,101.67577
PJY-E-004,2.89334,101.6776
PJY-E-005,2.89361,101.67622
PJY-E-006,2.89275,101.6766
PJY-E-007,2.89535,101.67794
PJY-E-008,2.89564,101.67711
PJY-E-009,2.89378,101.67899
PJY-E-010,2.89376,101.67842
PJY-E-011,2.89459,101.67834
PJY-E-012,2.89513,101.6779
PJY-E-013,2.89478,101.67764
PJY-E-014,2.89401,101.67754
PJY-E-015,2.89389,101.67696
PJY-E-016,2.89448,101.6766
PJY-E-017,2.89491,101.67704
PJY-E-018,2.89541,101.677
PJY-E-019,2.89528,101.67633
PJY-E-020,2.89568,101.67749
PJY-E-021,2.89312,101.67819
PJY-E-022,2.88882,101.66813
PJY-E-023,2.896,101.67926
PJY-E-024,2.88812,101.67485
PJY-E-025,2.8885,101.673796
PJY-E-026,2.88876,101.67295
PJY-E-027,2.889257,101.67273
PJY-E-028,2.8895,101.67365
PJY-E-029,2.88942,101.67469
PJY-E-030,2.88899,101.67516
PJY-E-031,2.88847,101.675166
PJY-E-032,2.889245,101.665413
PJY-E-033,2.932801,101.673656
PJY-E-034,2.89834,101.66871
PJY-E-035,2.897784,101.66857
PJY-E-036,2.89721,101.66842
PJY-E-037,2.89654,101.66833
PJY-E-038,2.89608,101.66822
PJY-E-039,2.89624,101.66756
PJY-E-040,2.89705,101.66778
PJY-E-041,2.89792,101.66788
PJY-E-042,2.89604,101.66441
PJY-E-043,2.89529,101.66412
PJY-E-044,2.89493,101.66383
PJY-E-045,2.89464,101.66304
PJY-E-046,2.8952,101.66251
PJY-E-047,2.89581,101.662
PJY-E-048,2.89627,101.66219
PJY-E-049,2.89571,101.66276
PJY-E-050,2.89562,101.66322
PJY-E-051,2.8961,101.66379
PJY-E-052,2.89836,101.66541
PJY-E-053,2.89919,101.66575
PJY-E-054,2.89936,101.66583
PJY-E-055,2.900016,101.66249
PJY-E-056,2.89958,101.66248
PJY-E-057,2.89892,101.66248
PJY-E-058,2.89786,101.66149
PJY-E-059,2.89782,101.66097
PJY-E-060,2.89725,101.66158
PJY-E-061,2.89186,101.66073
PJY-E-062,2.89898,101.66034
PJY-E-063,2.89996,101.66046
PJY-E-064,2.9004,101.66124
PJY-E-065,2.89987,101.6616
PJY-E-066,2.532447,101.404427
PJY-E-067,5.5319,101.4033
PJY-E-068,2.5318,101.4033
PJY-E-069,2.5318,101.4037
PJY-E-070,2.533135,101.406483
PJY-E-071,2.5319,101.4042
PJY-E-072,2.533354,101.407394
PJY-E-073,2.532,101.4046
PJY-E-074,2.5317,101.4047
PJY-E-075,2.533269,101.407991
PJY-E-076,2.5317,101.4044
PJY-E-077,2.532776,101.406972
PJY-E-078,2.5316,101.4039
PJY-E-079,2.532752,101.406025
PJY-E-080,2.532752,101.406025
PJY-F-001,2.90414,101.66863
PJY-F-002,2.90345,101.66795
PJY-F-003,2.90146,101.6672
PJY-F-004,2.90066,101.66753
PJY-G-001,2.93297,101.67384
PJY-G-002,2.93263,101.67454
PJY-G-003,2.93172,101.67442
PJY-G-004,2.93209,101.67324
PJY-G-005,2.93302,101.67322
PJY-G-006,2.9298,101.67344
PJY-G-007,2.92902,101.67381
PJY-G-008,2.93018,101.67319
PJY-G-009,2.93014,101.67367
PJY-G-010,2.93029,101.67399
PJY-G-011,2.92867,101.67416
PJY-G-012,2.92836,101.67479
PJY-G-013,2.92864,101.6753
PJY-G-014,2.92927,101.67519
PJY-G-015,2.929616,101.674657
PJY-G-016,2.929747,101.674288
PJY-G-017,2.93047,101.67528
PJY-G-018,2.93019,101.67571
PJY-G-019,2.930965,101.675184
PJY-G-020,2.93014,101.6759
PJY-G-021,2.93052,101.67612
PJY-G-022,2.93106,101.6757
PJY-G-023,2.93127,101.67642
PJY-G-024,2.93159,101.67574
PJY-G-025,2.93156,101.67503
PJY-G-026,2.93182,101.67498
PJY-G-027,2.93125,101.6749
PJY-G-028,2.932476,101.670706
PJY-G-029,2.932476,101.670706
PJY-G-030,2.933194,101.670764
PJY-G-031,2.933457,101.669744
PJY-G-032,2.932631,101.669597
PJY-G-033,2.931918,101.66946
PJY-G-034,2.931665,101.670102
PJY-G-035,2.93156,101.66924
PJY-G-036,2.93154,101.66991
PJY-G-037,2.93099,101.67043
PJY-G-038,2.932319,101.673848
PJY-G-039,2.931391,101.674385
PJY-G-040,2.931402,101.673507
PJY-G-041,2.928048,101.672792
PJY-G-042,2.927271,101.672504
PJY-G-043,2.926738,101.673212
PJY-G-044,2.926235,101.673987
PJY-G-045,2.92577,101.675187
PJY-G-046,2.926318,101.674836
PJY-G-047,2.926398,101.675386
PJY-G-048,2.927131,101.674346
PJY-G-049,2.927532,101.673653
PJY-G-050,2.559561,101.405134
PJY-G-051,2.559429,101.405421
PJY-G-052,2.55935,101.405813
PJY-G-053,2.558678,101.405449
PJY-G-054,2.559082,101.405921
PJY-G-055,2.559287,101.405388
PJY-G-056,2.55965,101.404956
PJY-H-001,2.94046,101.68707
PJY-H-002,2.94071,101.68742
PJY-H-003,2.94079,101.68799
PJY-H-004,2.94059,101.6883
PJY-H-005,2.93966,101.68435
PJY-H-006,2.93964,101.68495
PJY-H-007,2.90908,101.68465
PJY-H-008,2.939013,101.6855
PJY-H-009,2.93862,101.68453
PJY-H-010,2.93848,101.68497
PJY-H-011,2.93869,101.68587
PJY-H-012,2.94028,101.6843
PJY-H-013,2.94032,101.68521
PJY-H-014,2.94008,101.68287
PJY-H-015,2.94032,101.68266
PJY-H-016,2.94085,101.68268
PJY-H-017,2.94075,101.68319
PJY-H-018,2.94054,101.68376
PJY-H-019,2.94004,101.68366
PJY-H-020,2.93951,101.68339
PJY-H-021,2.93902,101.6833
PJY-H-022,2.938847,101.683776
PJY-H-023,2.93885,101.68322
PJY-H-024,2.93738,101.6833
PJY-H-025,2.9372,101.68416
PJY-H-026,2.93702,101.68467
PJY-H-027,2.93753,101.68264
PJY-H-028,2.93764,101.6822
PJY-H-029,2.93814,101.6815
PJY-H-030,2.93827,101.68245
PJY-H-031,2.93807,101.68318
PJY-H-032,2.93782,101.68438
PJY-H-033,2.9379,101.68391
PJY-H-034,2.938978,101.681573
PJY-H-035,2.93974,101.68176
PJY-H-036,2.93879,101.68269
PJY-H-037,2.939111,101.682322
PJY-H-038,2.93261,101.67952
PJY-H-039,2.93221,101.67896
PJY-H-040,2.93189,101.67921
PJY-H-041,2.93147,101.67936
PJY-H-042,2.93106,101.6799
PJY-H-043,2.93106,101.6799
PJY-H-044,2.93155,101.68056
PJY-H-045,2.93206,101.68002
PJY-H-046,2.930963,101.680727
PJY-H-047,2.931973,101.680393
PJY-H-048,2.932731,101.679743
PJY-H-049,2.933065,101.679316
PJY-H-050,2.93952,101.6825
PJY-H-051,2.93893,101.68292
PJY-H-052,2.9397,101.68314
PJY-H-053,2.93997,101.68233
PJY-H-054,2.94048,101.68234
PJY-H-055,2.93988,101.68273
PJY-H-056,2.93922,101.68346
PJY-H-057,2.93226,101.681292
PJY-H-058,2.931975,101.680934
PJY-H-059,2.93937,101.68349
PJY-H-060,2.93345,101.681162
PJY-H-061,2.93252,101.68182
PJY-H-062,2.93363,101.6825
PJY-H-063,2.93305,101.68186
PJY-H-064,2.93347,101.68149
PJY-H-065,2.93251,101.68206
PJY-H-066,2.93312,101.68287
PJY-H-067,2.93387,101.68192
PJY-H-068,2.93395,101.68469
PJY-H-069,2.93343,101.68334
PJY-H-070,2.93402,101.6823
PJY-H-071,2.93453,101.68221
PJY-H-072,2.93434,101.68311
PJY-H-073,2.93427,101.68406
PJY-H-074,2.934766,101.683572
PJY-H-075,2.93502,101.68271
PJY-H-076,2.93528,101.68159
PJY-H-077,2.93553,101.68041
PJY-H-078,2.93477,101.68115
PJY-H-079,2.93498,101.68021
PJY-H-080,2.93417,101.68024
PJY-H-081,2.93454,101.67966
PJY-H-082,2.93392,101.67958
PJY-H-083,2.93399,101.68078
PJY-H-084,2.93409,101.68135
PJY-H-085,2.93341,101.68019
PJY-H-086,2.93958,101.68777
PJY-H-087,2.93797,101.68637
PJY-H-088,2.93828,101.68692
PJY-H-089,2.93896,101.68695
PJY-H-090,2.9389,101.68772
PJY-H-091,2.93836,101.68746
PJY-H-092,2.93726,101.68635
PJY-H-093,2.93774,101.68577
PJY-H-094,2.93704,101.68559
PJY-H-095,2.937747,101.685261
PJY-H-096,2.937641,101.686995
PJY-H-097,2.93162,101.68221
PJY-H-098,2.930665,101.682337
PJY-H-099,2.9413,101.69591
PJY-H-100,2.92963,101.6787
PJY-H-101,2.92824,101.67809
PJY-H-102,2.9295,101.67755
PJY-H-103,2.93024,101.6779
PJY-H-104,2.93078,101.67815
PJY-H-105,2.93094,101.7881
PJY-H-106,2.93055,101.6795
PJY-H-107,2.92987,101.67982
PJY-H-108,2.92955,101.67903
PJY-H-109,2.92991,101.67899
PJY-H-110,2.93361,101.68584
PJY-H-111,2.93319,101.6852
PJY-H-112,2.93344,101.68594
PJY-H-113,2.93357,101.68666
PJY-H-114,2.93289,101.68582
PJY-H-115,2.93048,101.68185
PJY-H-116,2.93113,101.68143
PJY-H-117,2.93035,101.68101
PJY-H-118,2.932576,101.680453
PJY-H-119,2.932872,101.680768
PJY-H-120,2.932598,101.684447
PJY-H-121,2.932035,101.682957
PJY-H-122,2.931066,101.684261
PJY-H-123,2.931948,101.684706
