no_pili,latitude,longitude
PJY-H-124,2.931479,101.684894
PJY-H-125,2.931113,101.684853
PJY-H-126,2.930516,101.684315
PJY-H-127,2.930977,101.683882
PJY-H-128,2.930201,101.683742
PJY-H-129,2.930521,101.68366
PJY-H-130,2.931154,101.683011
PJY-H-131,2.931607,101.682614
PJY-H-132,2.931894,101.683228
PJY-H-133,2.930742,101.683237
PJY-H-134,2.931269,101.683951
PJY-H-135,2.928438,101.680887
PJY-H-136,2.929163,101.681013
PJY-H-137,2.929595,101.680488
PJY-H-138,2.929099,101.680017
PJY-H-139,2.927991,101.681507
PJY-H-140,2.928647,101.681625
PJY-H-141,2.928345,101.682312
PJY-H-142,2.928245,101.682633
PJY-H-143,2.926117,101.681983
PJY-H-144,2.92671,101.682378
PJY-H-145,2.927413,101.682378
PJY-H-146,2.925455,101.681702
PJY-H-147,2.925842,101.68142
PJY-H-148,2.925761,101.681037
PJY-H-149,2.926752,101.681704
PJY-H-150,2.9273,101.681907
PJY-H-151,2.925105,101.681176
PJY-H-152,2.924866,101.681404
PJY-H-153,2.925524,101.680411
PJY-H-154,2.925524,101.680411
PJY-H-155,2.925438,101.679713
PJY-H-156,2.92509,101.679601
PJY-H-157,2.925426,101.67921
PJY-H-158,2.925677,101.678739
PJY-H-159,2.925839,101.678456
PJY-H-160,2.9267,101.67978
PJY-H-161,2.92649,101.67976
PJY-H-162,2.92654,101.67873
PJY-H-163,2.92726,101.67902
PJY-H-164,2.92783,101.67929
PJY-H-165,2.92795,101.68005
PJY-H-166,2.92707,101.68106
PJY-H-167,2.93625,101.68143
PJY-H-168,2.93576,101.68211
PJY-H-169,2.93547,101.68264
PJY-H-170,2.93549,101.68327
PJY-H-171,2.93616,101.68326
PJY-H-172,2.93628,101.6824
PJY-H-173,2.93621,101.68102
PJY-H-174,2.93682,101.68145
PJY-H-175,2.93477,101.685
PJY-H-176,2.93497,101.68564
PJY-H-177,2.93507,101.68589
PJY-H-178,2.93581,101.68534
PJY-H-179,2.93585,101.68419
PJY-H-180,2.93526,101.68451
PJY-H-181,2.24533,101.70884
PJY-I-001,2.94461,101.67978
PJY-I-002,2.94564,101.68003
PJY-I-003,2.94619,101.67962
PJY-I-004,2.94685,101.6806
PJY-I-005,2.94602,101.68101
PJY-I-006,2.94597,101.68157
PJY-I-007,2.94572,101.68214
PJY-I-008,2.94608,101.68255
PJY-I-009,2.94585,101.6833
PJY-I-010,2.94718,101.68298
PJY-I-011,2.94793,101.68407
PJY-I-012,2.94715,101.68374
PJY-I-013,2.94876,101.68407
PJY-I-014,2.94907,101.683
PJY-I-015,2.94723,101.68203
PJY-I-016,2.94782,101.6825
PJY-I-017,2.94765,101.68132
PJY-I-018,2.94848,101.68216
PJY-I-019,2.9467,101.68263
PJY-I-020,2.94669,101.6815
PJY-I-021,2.94619,101.67921
PJY-I-022,2.94537,101.67888
PJY-I-023,2.94473,101.6792
PJY-I-024,2.94436,101.67834
PJY-I-025,2.94523,101.67853
PJY-I-026,2.94359,101.67844
PJY-I-027,2.9422,101.67757
PJY-I-028,2.94222,101.67724
PJY-I-029,2.9435,101.6779
PJY-I-030,2.94284,101.67775
PJY-I-031,2.94245,101.67676
PJY-I-032,2.94166,101.67676
PJY-I-033,2.94125,101.67651
PJY-I-034,2.94167,101.67585
PJY-I-035,2.94212,101.67616
PJY-I-036,2.94599,101.6783
PJY-I-037,2.94649,101.67883
PJY-I-038,2.935336,101.672559
PJY-I-039,2.93522,101.67234
PJY-I-040,2.94424,101.68075
PJY-I-041,2.94346,101.68066
PJY-I-042,2.94273,101.68054
PJY-I-043,2.94232,101.68137
PJY-I-044,2.94308,101.68215
PJY-I-045,2.94373,101.68154
PJY-I-046,2.94472,101.68181
PJY-I-047,2.94462,101.68124
PJY-I-048,2.94406,101.68192
PJY-I-049,2.94367,101.68221
PJY-I-050,2.94464,101.68269
PJY-I-051,2.94522,101.6826
PJY-I-052,2.9438,101.67611
PJY-I-053,2.94368,101.6766
PJY-I-054,2.94419,101.67718
PJY-I-055,2.94343,101.67625
PJY-I-056,2.94307,101.67574
PJY-I-057,2.93628,101.67326
PJY-I-058,2.94301,101.67527
PJY-I-059,2.94269,101.67533
PJY-I-060,2.94233,101.67482
PJY-I-061,2.94219,101.67451
PJY-I-062,2.94251,101.67394
PJY-I-063,2.94296,101.67355
PJY-I-064,2.94343,101.67484
PJY-I-065,2.94375,101.67559
PJY-I-066,2.94308,101.67417
PJY-I-067,2.944125,101.674402
PJY-I-068,2.944389,101.674918
PJY-I-069,2.94492,101.67477
PJY-I-070,2.94486,101.67377
PJY-I-071,2.94481,101.67377
PJY-I-072,2.94546,101.675
PJY-I-073,2.945417,101.674498
PJY-I-074,2.94002,101.671121
PJY-I-075,2.939145,101.670954
PJY-I-076,2.938764,101.671565
PJY-I-077,2.9394,101.671618
PJY-I-078,2.940351,101.670844
PJY-I-079,2.93767,101.67171
PJY-I-080,2.93659,101.67171
PJY-I-081,2.93762,101.67185
PJY-I-082,2.93801,101.67256
PJY-I-083,2.93681,101.67252
PJY-I-084,2.93844,101.67258
PJY-I-085,2.94016,101.67073
PJY-I-086,2.9401,101.671872
PJY-I-087,2.94068,101.67283
PJY-I-088,2.94094,101.6726
PJY-I-089,2.938594,101.673785
PJY-I-090,2.94083,101.67345
PJY-I-091,2.94142,101.67303
PJY-I-092,2.94171,101.67278
PJY-I-093,2.94097,101.67391
PJY-I-094,2.9409,101.67382
PJY-I-095,2.94158,101.67399
PJY-I-096,2.94189,101.67359
PJY-I-097,2.942339,101.673031
PJY-I-098,2.940656,101.671166
PJY-I-099,2.9447,101.67765
PJY-I-100,2.94515,101.67712
PJY-I-101,2.94562,101.67675
PJY-I-102,2.94566,101.67675
PJY-I-103,2.94567,101.67619
PJY-I-104,2.94544,101.67544
PJY-I-105,2.94504,101.67555
PJY-I-106,2.94455,101.67551
PJY-I-107,2.94471,101.67619
PJY-I-108,2.94473,101.67667
PJY-I-109,2.94379,101.6739
PJY-I-110,2.94345,101.67348
PJY-I-111,2.94377,101.67325
PJY-I-112,2.94334,101.67313
PJY-I-113,2.94299,101.67291
PJY-I-114,2.9442,101.67281
PJY-I-115,2.94444,101.67219
PJY-I-116,2.94397,101.67155
PJY-I-117,2.94347,101.67139
PJY-I-118,2.94287,101.67178
PJY-I-119,2.94265,101.67238
PJY-I-120,2.94536,101.67391
PJY-I-121,2.94523,101.6726
PJY-I-122,2.94525,101.67297
PJY-I-123,2.94529,101.67336
PJY-I-124,2.94518,101.6722
PJY-I-125,2.94511,101.67173
PJY-I-126,2.9451,101.67169
PJY-I-127,2.94175,101.67136
PJY-I-128,2.94417,101.67363
PJY-I-129,2.94446,101.67333
PJY-I-130,2.944792,101.67297
PJY-I-131,2.94056,101.67147
PJY-I-132,2.94266,101.67789
PJY-I-133,2.94234,101.67818
PJY-I-134,2.94674,101.6836
PJY-I-135,2.93614,101.67361
PJY-I-136,2.93511,101.67359
PJY-I-137,2.93496,101.67323
PJY-I-138,2.93554,101.67326
PJY-I-139,2.93432,101.67326
PJY-I-140,2.93446,101.6739
PJY-I-141,2.9348,101.67438
PJY-I-142,2.93532,101.67461
PJY-I-143,2.93589,101.67431
PJY-I-144,2.93612,101.67494
PJY-I-145,2.9365,101.67432
PJY-I-146,2.973012,101.674607
PJY-I-147,2.93664,101.67407
PJY-I-148,2.93707,101.67378
PJY-I-149,2.93776,101.67413
PJY-I-150,2.93755,101.67461
PJY-I-151,2.94057,101.67343
PJY-I-152,2.94115,101.67546
PJY-I-153,2.9406,101.67503
PJY-I-154,2.94102,101.67487
PJY-I-155,2.941568,101.675318
PJY-I-156,2.94049,101.67575
PJY-I-157,2.940832,101.675792
PJY-I-158,2.939673,101.674938
PJY-I-159,2.940424,101.675213
PJY-I-160,2.940452,101.676386
PJY-I-161,2.94008,101.67625
PJY-I-162,2.93974,101.67564
PJY-I-163,2.941636,101.678032
PJY-I-164,2.93525,101.67575
PJY-I-165,2.93511,101.67837
PJY-I-166,2.93581,101.67875
PJY-I-167,2.93649,101.67916
PJY-I-168,2.93727,101.67958
PJY-I-169,2.93783,101.67886
PJY-I-170,2.93705,101.67867
PJY-I-171,2.93655,101.67834
PJY-I-172,2.93603,101.67802
PJY-I-173,2.93438,101.6768
PJY-I-174,2.93395,101.67623
PJY-I-175,2.93367,101.67563
PJY-I-176,2.93338,101.67638
PJY-I-177,2.93322,101.67715
PJY-I-178,2.933368,101.67759
PJY-I-179,2.93443,101.67818
PJY-I-180,2.93523,101.67798
PJY-I-181,2.9349,101.67723
PJY-I-182,2.93651,101.67233
PJY-I-183,2.9386,101.67687
PJY-I-184,2.93828,101.677241
PJY-I-185,2.93828,101.67662
PJY-I-186,2.93827,101.6761
PJY-I-187,2.93845,101.67523
PJY-I-188,2.93903,101.67524
PJY-I-189,2.93898,101.67599
PJY-I-190,2.94034,101.67676
PJY-I-191,2.941,101.67726
PJY-I-192,2.94055,101.6778
PJY-I-193,2.9401,101.67764
PJY-I-194,2.93975,101.67762
PJY-I-195,2.93981,101.67684
PJY-I-196,2.93857,101.67887
PJY-I-197,2.93859,101.67964
PJY-I-198,2.93976,101.6802
PJY-I-199,2.94054,101.68066
PJY-I-200,2.94144,101.68069
PJY-I-201,2.94123,101.68024
PJY-I-202,2.93936,101.6799
PJY-I-203,2.93926,101.67937
PJY-J-001,2.95091,101.68866
PJY-J-002,2.95077,101.68932
PJY-J-003,2 950910,101.69054
PJY-J-004,2.95213,101.68969
PJY-J-005,2.94185,101.68638
PJY-J-006,2.94296,101.68668
PJY-J-007,2.94353,101.68685
PJY-J-008,2.94415,101.68713
PJY-J-009,2 944640,101.68725
PJY-J-010,2.94517,101.68768
PJY-J-011,2.94583,101.68799
PJY-J-012,2.94685,101.68813
PJY-J-013,2.9476,101.68788
PJY-J-014,2.9481,101.68752
PJY-J-015,2 948480,101.68744
PJY-J-016,2.95243,101.68676
PJY-J-017,2.95169,101.68644
PJY-J-018,2.95301,101.68709
PJY-J-019,2.95358,101.68755
PJY-J-020,2.95378,101.68793
PJY-J-021,2.95408,101.68855
PJY-J-022,2.954315,101.689475
PJY-J-023,2.954291,101.690098
PJY-J-024,2.95383,101.69114
PJY-J-025,2.95345,101.69148
PJY-J-026,2.95274,101.69191
PJY-J-027,2.952169,101.691264
PJY-J-028,2.95278,101.69097
PJY-J-029,2.95327,101.69048
PJY-J-030,2.95374,101.69015
PJY-J-031,2.95347,101.68845
PJY-J-032,2.95286,101.68841
PJY-J-033,2.95256,101.68776
PJY-J-034,2.95184,101.68745
PJY-J-035,2.9512,101.68728
PJY-J-036,2.950947,101.687001
PJY-J-037,2.951,101.68793
PJY-J-038,2.951,101.68622
PJY-J-039,2 950820,101.68583
PJY-J-040,2.95053,101.68589
PJY-J-041,2.95059,101.68531
PJY-J-042,2.9504,101.68517
PJY-J-043,2.95092,101.68483
PJY-J-044,2.9513,101.68523
PJY-J-045,2 951690,101.6849
PJY-J-046,2.95197,101.68544
PJY-J-047,2.95246,101.68475
PJY-J-048,2.952822,101.685056
PJY-J-049,2.95268,101.68568
PJY-J-050,2.953176,101.685148
PJY-J-051,2 953270,101.68596
PJY-J-052,2.95385,101.68571
PJY-J-053,2.9539,101.6864
PJY-J-054,2.95402,101.68622
PJY-J-055,2.95435,101.68698
PJY-J-056,2.95465,101.68684
PJY-J-057,2.95496,101.68752
PJY-J-058,2.95508,101.68825
PJY-J-059,2.95446,101.6882
PJY-J-060,2.95415,101.68755
PJY-J-061,2.95373,101.68691
PJY-J-062,2.95317,101.68645
PJY-J-063,2.95255,101.68617
PJY-J-064,2.95203,101.686
PJY-J-065,2.95141,101.68587
PJY-J-066,2.94893,101.68781
PJY-J-067,2.94795,101.68845
PJY-J-068,2.94675,101.68873
PJY-J-069,2.94566,101.68839
PJY-J-070,2.94394,101.68776
PJY-J-071,2.94321,101.687629
PJY-J-072,2.9437,101.6867
PJY-J-073,2.94361,101.68537
PJY-J-074,2.94348,101.68537
PJY-J-075,2.94366,101.68639
PJY-J-076,2.94297,101.68515
PJY-J-077,2.94285,101.68565
PJY-J-078,2.94288,101.68618
PJY-J-079,2.94224,101.68481
PJY-J-080,2.94214,101.68539
PJY-J-081,2.94218,101.68623
PJY-J-082,2.94377,101.68455
PJY-J-083,2.94428,101.68392
PJY-J-084,2.94393,101.68357
PJY-J-085,2.94322,101.68343
PJY-J-086,2.94236,101.68363
PJY-J-087,2.94202,101.68428
PJY-J-088,2.94335,101.68443
PJY-J-089,2.94378,101.68402
PJY-J-090,2.94274,101.68393
PJY-J-091,2.94323,101.68378
PJY-J-092,2.9447,101.68382
PJY-J-093,2.94542,101.68425
PJY-J-094,2.94543,101.68507
PJY-J-095,2.94509,101.68556
PJY-J-096,2.94404,101.68665
PJY-J-097,2.9445,101.68597
PJY-J-098,2.94467,101.68642
PJY-J-099,2.94445,101.68691
PJY-J-100,2.94525,101.68622
PJY-J-101,2.94531,101.68674
PJY-J-102,2.9452,101.68722
PJY-J-103,2.94841,101.68705
PJY-J-104,2.94819,101.68662
PJY-J-105,2.9484,101.68715
PJY-J-106,2.94761,101.68675
PJY-J-107,2.94756,101.6876
PJY-J-108,2.94667,101.68707
PJY-J-109,2.94649,101.68774
PJY-J-110,2.94606,101.68683
PJY-J-111,2.94565,101.68741
PJY-J-112,2.948702,101.686907
PJY-J-113,2.948472,101.686299
PJY-J-114,2.94926,101.68629
PJY-J-115,2.94921,101.68575
PJY-J-116,2.94922,101.68516
PJY-J-117,2.94882,101.68578
PJY-J-118,2.94847,101.68516
PJY-J-119,2.94761,101.68487
PJY-J-120,2.94773,101.68558
PJY-J-121,2.94807,101.68613
PJY-J-122,2.947165,101.685262
PJY-J-123,2.94651,101.68572
PJY-J-124,2.94596,101.68611
PJY-J-125,2.94597,101.6858
PJY-J-126,2.94641,101.68651
PJY-J-127,2.94709,101.68596
PJY-J-128,2.94742,101.68642
PJY-J-129,2.94663,101.68535
PJY-J-130,2.94614,101.68523
PJY-J-131,2.94677,101.68479
PJY-J-132,2.94608,101.68457
PJY-J-133,2.9446,101.68441
PJY-J-134,2.94417,101.68491
PJY-J-135,2.94502,101.68472
PJY-J-136,2.94461,101.6853
PJY-J-137,2.95463,101.69033
PJY-J-138,2.95489,101.68987
PJY-J-139,2.95417,101.6909
PJY-J-140,2.95379,101.69164
PJY-J-141,2.95342,101.69217
PJY-J-142,2.95289,101.69256
PJY-J-143,2.95269,101.69232
PJY-J-144,2.95222,101.69292
PJY-J-145,2.95164,101.69261
PJY-J-146,2.9508,101.69179
PJY-J-147,2.95081,101.6923
PJY-J-148,2.95056,101.69292
PJY-J-149,2.95135,101.69315
PJY-J-150,2.9449,101.68775
PJY-J-151,2.94463,101.68821
PJY-J-152,2.94317,101.68758
PJY-J-153,2.94228,101.68717
PJY-J-154,2.9422,101.68751
PJY-J-155,2.9428,101.68767
PJY-J-156,2.94291,101.68695
PJY-K-001,2.95904,101.68514
PJY-K-002,2.95944,101.68515
PJY-K-003,2.95852,101.68552
PJY-K-004,2.95879,101.6851
PJY-K-005,2.95808,101.68533
PJY-K-006,2.95722,101.6862
PJY-K-007,2.95688,101.68544
PJY-K-008,2.9572,101.68496
PJY-K-009,2.957627,101.685927
PJY-K-010,2.95643,101.68509
PJY-K-011,2.95584,101.68539
PJY-K-012,2.95513,101.68468
PJY-K-013,2.95563,101.6848
PJY-K-014,2.95619,101.68454
PJY-K-015,2.95678,101.68446
PJY-K-016,2.95575,101.68426
PJY-K-017,2.95533,101.68324
PJY-K-018,2.95529,101.6825
PJY-K-019,2.95557,101.68199
PJY-K-020,2.95652,101.68092
PJY-K-021,2.95754,101.68137
PJY-K-022,2.95724,101.68213
PJY-K-023,2.95703,101.68116
PJY-K-024,2.95672,101.68181
PJY-K-025,2.95621,101.68173
PJY-K-026,2.95606,101.68223
PJY-K-027,2.9559,101.68314
PJY-K-028,2.95638,101.68317
PJY-K-029,2.95657,101.6824
PJY-K-030,2.95704,101.68342
PJY-K-031,2.95714,101.6825
PJY-K-032,2.95639,101.68565
PJY-K-033,2.95659,101.68619
PJY-K-034,2.95688,101.68694
PJY-K-035,2.95641,101.68707
PJY-K-036,2.95601,101.68597
PJY-K-037,2.95735,101.68654
PJY-K-038,2.95732,101.68748
PJY-K-039,2.95802,101.68747
PJY-K-040,2.95753,101.68803
PJY-K-041,2.95793,101.6863
PJY-K-042,2.9589,101.68166
PJY-K-043,2.95938,101.68164
PJY-K-044,2.95886,101.68238
PJY-K-045,2.95886,101.6836
PJY-K-046,2.95852,101.68285
PJY-K-047,2.95821,101.68276
PJY-K-048,2.95801,101.68237
PJY-K-049,2.95832,101.68169
PJY-K-050,2.95866,101.68219
PJY-K-051,2.95796,101.68327
PJY-K-052,2.957806,101.683646
PJY-K-053,2.95795,101.68392
PJY-K-054,2.95805,101.68476
PJY-K-055,2.95853,101.68435
PJY-K-056,2.95877,101.6843
PJY-K-057,2.95842,101.68357
PJY-K-058,2.95888,101.68581
PJY-K-059,2.95905,101.68129
PJY-K-060,2.95849,101.68139
PJY-K-061,2.95868,101.68105
PJY-K-062,2.95882,101.6804
PJY-K-063,2.95887,101.67986
PJY-K-064,2.95888,101.67943
PJY-K-065,2.9598,101.67985
PJY-K-066,2.95939,101.67994
PJY-K-067,2.95937,101.68053
PJY-K-068,2.95941,101.68105
PJY-K-069,2.95942,101.68243
PJY-K-070,2.95944,101.68279
PJY-K-071,2.95949,101.68378
PJY-K-072,2.9595,101.68433
PJY-K-073,2.959451,101.685977
PJY-K-074,2.94887,101.67783
PJY-K-075,2.94862,101.67736
PJY-K-076,2.94791,101.67781
PJY-K-077,2.94813,101.67847
PJY-K-078,2.948552,101.679359
PJY-K-079,2.948923,101.679818
PJY-K-080,2.94934,101.68034
PJY-K-081,2.94977,101.68068
PJY-K-082,2.94972,101.68153
PJY-K-083,2.94947,101.68111
PJY-K-084,2.94903,101.68089
PJY-K-085,2.94868,101.68021
PJY-K-086,2.94831,101.68007
PJY-K-087,2.94778,101.67921
PJY-K-088,2.94748,101.67863
PJY-K-089,2.9473,101.67777
PJY-K-090,2.94762,101.67755
PJY-K-091,2.94861,101.67832
PJY-K-092,2.94931,101.67845
PJY-K-093,2.9493,101.67935
PJY-K-094,2.9499,101.67909
PJY-K-095,2.95062,101.6794
PJY-K-096,2.95136,101.6785
PJY-K-097,2.95033,101.67984
PJY-K-098,2.95029,101.6777
PJY-K-099,2.9508,101.67748
PJY-K-100,2.95113,101.67683
PJY-K-101,2.95048,101.67639
PJY-K-102,2.9536,101.67442
PJY-K-103,2.95357,101.67376
PJY-K-104,2.95417,101.67437
PJY-K-105,2.95397,101.67336
PJY-K-106,2.95475,101.67426
PJY-K-107,2.95885,101.67647
PJY-K-108,2.95962,101.67641
PJY-K-109,2.96019,101.67696
PJY-K-110,2.95969,101.67738
PJY-K-111,2.95914,101.67698
PJY-K-112,2.96026,101.67776
PJY-K-113,2.96028,101.67841
PJY-K-114,2.96104,101.67847
PJY-K-115,2.96167,101.67845
PJY-K-116,2.96065,101.67908
PJY-K-117,2.96159,101.6791
PJY-K-118,2.95974,101.67896
PJY-K-119,2.95726,101.67611
PJY-K-120,2.95774,101.6769
PJY-K-121,2.95804,101.67632
PJY-K-122,2.9573,101.67529
PJY-K-123,2.95723,101.67471
PJY-K-124,2.95681,101.67381
PJY-K-125,2.95636,101.67451
PJY-K-126,2.95676,101.67515
PJY-K-127,2.95034,101.67873
PJY-K-128,2.94971,101.67891
PJY-K-129,2.94933,101.67847
PJY-K-130,2.94926,101.67782
PJY-K-131,2.95183,101.67795
PJY-K-132,2.95233,101.67793
PJY-K-133,2.95322,101.67776
PJY-K-134,2.95414,101.6777
PJY-K-135,2.95456,101.67712
PJY-K-136,2.95345,101.67697
PJY-K-137,2.95268,101.67705
PJY-K-138,2.95185,101.6771
PJY-K-139,2.95131,101.67751
PJY-K-140,2.95636,101.67317
PJY-K-141,2.95569,101.67289
PJY-K-142,2.95485,101.67236
PJY-K-143,2.95487,101.67299
PJY-K-144,2.95405,101.67255
PJY-K-145,2.95332,101.67296
PJY-K-146,2.95346,101.67363
PJY-K-147,2.95461,101.67352
PJY-K-148,2.948793,101.678839
PJY-K-149,2.969038,101.673532
PJY-K-150,2.968478,101.673831
PJY-K-151,2.96889,101.675087
PJY-K-152,2.969734,101.674796
PJY-K-153,2.96872,101.674437
PJY-K-154,2.969235,101.674119
PJY-K-155,2.969898,101.674069
PJY-K-156,2.969805,101.67374
PJY-K-157,2.957974,101.680067
PJY-K-158,2.95795,101.680829
PJY-K-159,2.957681,101.680829
PJY-K-160,2.957554,101.680914
PJY-K-161,2.957707,101.675009
PJY-K-162,2.95724,101.674342
PJY-K-163,2.94885,101.6785
PJY-K-164,2.957682,101.673983
PJY-K-165,2.958228,101.674624
PJY-K-166,2.958934,101.675113
PJY-K-167,2.959467,101.67571
PJY-K-168,2.959829,101.675872
PJY-K-169,2.960128,101.67691
PJY-K-170,2.956307,101.670519
PJY-K-171,2.95548,101.670811
PJY-K-172,2.955294,101.670408
PJY-K-173,2.955646,101.670086
PJY-K-174,2.957783,101.665405
PJY-K-175,2.963883,101.665925
PJY-K-176,2.964323,101.665816
PJY-K-177,2.964435,101.666272
PJY-K-178,2.96327,101.665191
PJY-K-179,2.962112,101.66433
PJY-K-180,2.961779,101.663654
PJY-K-181,2.962564,101.663769
PJY-K-182,2.963126,101.663761
PJY-K-183,2.962935,101.664305
PJY-K-184,2.963875,101.663799
PJY-K-185,2.964387,101.664162
PJY-K-186,2.964374,101.663496
PJY-K-187,2.963902,101.66464
PJY-K-188,2.970042,101.671098
PJY-K-189,2.969454,101.671521
PJY-K-190,2.970105,101.672615
PJY-K-191,2.970648,101.672289
PJY-K-192,2.970378,101.67164
PJY-K-193,2.969735,101.672003
PJY-K-194,2.97099,101.672784
PJY-K-195,2.9704,101.673129
PJY-K-196,2.969939,101.675389
PJY-K-197,2.970403,101.675536
PJY-K-198,2.970426,101.673613
PJY-K-199,2.970868,101.673798
PJY-K-200,2.970131,101.674782
PJY-K-201,2.970574,101.674921
PJY-K-202,2.970734,101.674363
PJY-K-203,2.970258,101.674186
PJY-K-204,2.967313,101.670634
PJY-K-205,2.96557,101.670478
PJY-K-206,2.965913,101.67053
PJY-K-207,2.966348,101.671258
PJY-K-208,2.966943,101.671564
PJY-K-209,2.966801,101.67103
PJY-K-210,2.966352,101.670354
PJY-K-211,2.966022,101.668608
PJY-K-212,2.965292,101.668852
PJY-K-213,2.965489,101.669139
PJY-K-214,2.96535,101.669619
PJY-K-215,2.966153,101.669431
PJY-K-216,2.96602,101.667488
PJY-K-217,2.96569,101.66692
PJY-K-218,2.9654,101.66772
PJY-K-219,2.9645,101.66761
PJY-K-220,2.96551,101.66789
PJY-K-221,2.9654,101.66848
PJY-K-222,2.96605,101.6682
PJY-K-223,2.96526,101.66697
PJY-K-224,2.96461,101.667
PJY-K-225,2.96242,101.66737
PJY-K-226,2.96316,101.6669
PJY-K-227,2.96298,101.66639
PJY-K-228,2.96241,101.66585
PJY-K-229,2.96185,101.66661
PJY-K-230,2.96178,101.66727
PJY-K-231,2.96222,101.66798
PJY-K-232,2.96302,101.66748
PJY-K-233,2.9634,101.66685
PJY-K-234,2.96335,101.66844
PJY-K-235,2.96322,101.66799
PJY-K-236,2.96407,101.66859
PJY-K-237,2.96389,101.66798
PJY-K-238,2.96417,101.66924
PJY-K-239,2.96444,101.66988
PJY-K-240,2.96217,101.66901
PJY-K-241,2.96142,101.66903
PJY-K-242,2.96076,101.66886
PJY-K-243,2.960242,101.6687
PJY-K-244,2.960421,101.66931
PJY-K-245,2.96116,101.66945
PJY-K-246,2.96191,101.6695
PJY-K-247,2.96255,101.6694
PJY-K-248,2.96336,101.66915
PJY-K-249,2.96376,101.66972
PJY-K-250,2.96307,101.67005
PJY-K-251,2.96225,101.67059
PJY-K-252,2.96163,101.67113
PJY-K-253,2.96201,101.67019
PJY-K-254,2.96105,101.67039
PJY-K-255,2.96131,101.67011
PJY-K-256,2.96043,101.66706
PJY-K-257,2.959693,101.666344
PJY-K-258,2.96157,101.66559
PJY-K-259,2.96165,101.66521
PJY-K-260,2.96122,101.66605
PJY-K-261,2.96056,101.66596
